"
भाई। सूफर।गाना
"
"
""It's rain today in Islamabad, and listening this song after a long time.""
"
"
luv u bhaji
"
"
huni pta lga vese mainu v k tuhada channel subscribe ni kita
"
"
Here 6k  people gud taste in music❤️
"
"
I DEDICATE THIS SONG TO MY FATHER..MISS YOU SO MUCH DAD..PLS COME BACK..🥺
"
"
Very very Dil nu Chhuhan wala you song
"
"
🤍🥀✍️🥺
"
"
Paji amrinder gill ... means koka
"
"
Who's listning in 2021 Amrinder paaji🙏🏻
"
"
5 October 2021
"
"
kon kon sun raha
"
"
🥺
"
"
Still favourite ❤️
"
"
""I am pakistani but the song not see any country
Ya song kabhi purana nahi hoga""
"
"
ਜੰਨਤ ਦਾ ਨਾਮ ਸੁਣੇਆ ਉਹ ਇਸ ਗੀਤ ਰਾਹੀ ਮਿਲ ਜਾਣੀ🦋🌸
"
"
hearttouching song
"
"
11111111
"
"
01111111111
"
"
میری خواہش ہے کے میں ایسا کر پاوں! آپ کا دن اچھا گزے!😉😉
"
"
🤗🤗🤗😪😪😪😪😪😭😭😭😔😔😔
"
"
Movie name..?
"
"
Dil nu bht sakoon milda a song sunn k
"
"
End gaana aa paaji haini ehto utto koi gaana baba mehar kare jionde vasde te khush raho keep it up
"
"
Aj v andr se feel ati hai kisi k lia ea song sunnne k badd
"
"
Mater piece
"
"
All time favourite 👍
"
"
Sep 2021 ! Is there anyone ?
"
"
Listen in 23 sep 2021 thursday
"
"
Luv from punjab pakistan
"
"
feel this song
"
"
❤️💯
"
"
2021 who is still here ???
"
"
Meher kar RAB 🙏
"
"
🥺kiRat
"
"
UCrymbi5D1ljUhiRWgPH_u6g subscriber k
"
"
Dil se gaya h ye song.love u amrinder
"
"
2021
"
"
Very touching song....
"
"
i.mimjjimimnjmimiķis 6
"
"
Nic song
"
"
My friend make a video on this song and ask for a time but i can't manage time and she died in 2017 and now i still watch that video and hope that oneday we will meet in jannat
"
"
Kinnu kinnu lagda eh song di length thodi hor lambi honi chahidi c...
"
"
Accha yahan ak chij dekhi ki amrindar sahab ke gaano me sadgi jhalkati hai ..ak dam sada pan ...bahut badiya ...
"
"
Att
"
"
❤️
"
"
""ਸਿੰਮੂ , ਤੈਨੂੰ ਮਿਲਣਾ ਚਾਹੁੰਦਾ ਹਾਂ, ਬਹੁਤ ਗੱਲਾਂ ਕਰਨੀਆਂ ਏ,""
"
"
hy
"
"
""Bhai Sukoon Mil Janda Tuhadi Awaz Sun Ke 
Allah Pk Khush Rakhn Tuhan O 
Allah Pk Salamat Rakhn Tuhan O Veer G Khush Raho Hameshah Pajiii""
"
"
Hun kon kon sunrya eh song 2021 ch
"
"
Gggg khan
"
"
August 2021 ❤️ still favourite ❤️
"
"
Bollywood need to learn from this 🇵🇰
"
"
""ਤੂੰ ਕਸਮ ਖਵਾਕੇ ਕੀ ਪੁੱਛਦਾ ਤੈਨੂੰ ੳੁਝ ਵੀ ਝੂਠ ਨੲੀ ਕਹਿ ਸਕਦੇ ...ਵਿੰਦਰ ਨੱਥੂਮਾਂਜਰਾ ਗੀਤਕਾਰ ਜਿਸਦਾ ਲਿਖਿਅਾ ੲਿਹ ਗੀਤ ...ਬਹੁਤ ਕਮਾਲ ਲਿਖਦਾ ਵੀਰ ਪਰ ਹਮੇਸ਼ਾ ਗੀਤਕਾਰ ਲੁਕਿਅਾ ਰਹਿ ਜਾਦਾ ...ਤੇ ਅਾਵਾਜ ਅਮਰਿੰਦਰ ਗਿੱਲ ਦੀ ਤਾ ਨਿਰਾ ਸ਼ਹਿਦ ਅਾ ਗੀਤ """"ਚ ਜਾਨ ਪਾ ਦੇਦਾ ਬਾੲੀ""
"
"
Heart sometimes saves us from disaster. Gud
"
"
Hindi
"
"
Nicee song
"
"
Amrinder sir da bilkul alag stand ya koi rees ni sis todi
"
"
Kon Kon pardesi sun raha hai Jo apni wife ya apne husband se door ho 26/08/2021
"
"
I miss you my life can't forget you
"
"
Kmaal
"
"
Who is listening this song in 2021
"
"
2021 Aug
"
"
2022 Waly ajao
"
"
Gill saab tuc allaag o sabb to
"
"
Kive koi kisi nu chad turr jaanda jaande hoye vi duje da sarna ni
"
"
Amrinder gill ❤️❤️❤️❤️❤️❤️❤️❤️
"
"
Always favourite song
"
"
My favourite song ❤️❤️❤️❤️❤️
"
"
...❤️
"
"
🤘🤘🤘
"
"
Favourite ever 🥀
"
"
Kash menu eh kehn.da moka.mil.janda ta shayd aaj apa ikathe hunde.
"
"
Fevrat song
"
"
such a deep song
"
"
only waoooooooooooo
"
"
Asi school ch girls boys eh song bhut gaune aa ... Sade school ch science meela c ohthe asi eh song gaea c first aye c with project and song ❤️❤️❤️❤️❤️
"
"
siraaaa
"
"
Yaaadan hi ni jandea  teriya tu h ta m aaa❤️❤️
"
"
What is name in this song
"
"
how to keep this as callertune on Airtel ? This isn't available on Wynk
"
"
Phle ye song sirf song lgta tha but abhi m ise feel krti hu jab adhi raat ko apne fauji sahb ki yaad aaye to ye song sunke bhut sukoon milta h 🥺❤️❤️❤️❤️❤️
"
"
This song is ❤️❤️❤️❤️
"
"
Aisa lgta hai jaise is gaane ki ek ek line mere dil ke jajbaat ko byan kr rhe ho
"
"
3 august
"
"
👍👍👍
"
"
hun kon kon sun rha
"
"
👍
"
"
July 2021 wech kera Veera sun reha
"
"
Eh ganna sun k oh sab nu rona aa jnde hona jina de apne door ho gye te kujh eh rangli duniya ton chle gye ….. chlo ganna sun k sukoon milde dil nu
"
"
29-july- 2k21 and will listen it in 2k31 too:)
"
"
Jab sunti ho tab he bhot roti ho but...!!!because  my life partner in abroad  13 year n never meet.
"
"
Legend ❤️❤️❤️
"
"
❤️❤️
"
"
""🌹🌹🌹🌹🌹🌹
             🌹
             🌹
             🌹
             🌹
             🌹
🌹🌹🌹🌹🌹🌹

🌹🌹          🌹🌹
🌹   🌹    🌹   🌹
🌹     🌹🌹     🌹
🌹        🌹       🌹
🌹                     🌹
🌹                     🌹

🌹🌹🌹🌹🌹🌹
             🌹
             🌹
             🌹
             🌹
             🌹
🌹🌹🌹🌹🌹🌹

🌹🌹🌹🌹🌹🌹
🌹
🌹
🌹🌹🌹🌹🌹🌹
                          🌹
                          🌹
🌹🌹🌹🌹🌹🌹

🌹🌹🌹🌹🌹🌹
🌹
🌹
🌹🌹🌹🌹🌹🌹
                          🌹
                          🌹
🌹🌹🌹🌹🌹🌹

🌹                     🌹
   🌹               🌹
      🌹         🌹
         🌹   🌹
             🌹
             🌹
             🌹

🌹🌹🌹🌹🌹🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹🌹🌹🌹🌹🌹

🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹                     🌹
🌹🌹🌹🌹🌹🌹""
"
"
Same  bai Mai vi aa tere varga
"
"
Anyone in July 🙌
"
"
Its July 2021 and i am listening this song ...i don't know how many times ...but still i am listening.🙃
"
"
Iko khrabi h is gaane vich yaar sirf 2 mint 10 sec  naainsafi h sro sr 😒😒😒
"
"
Vapis aaaja kide ni jan dena
"
"
Jaan jaan bolkar bejaan kar De sonaa
"
"
Ana vadiya ganna gan di lod c gill saab bar bar sunnna pada ganna sanu
"
"
.🦋
"
"
2021 vibing song
"
"
Is ka part 2 b hona chayie hum is ki story ko agye dkhna chahty hai jasy chal mara putt ki story continues ki asy he is movie ki bkry
"
"
""Na Movie bhul honi 
Na oh din Jdo apan 2ve  kathe baithe c Movie dekhn""
"
"
U can feel lighter after listening to this song..
"
"
Kon kon abhi bhi sunta hai ye song 2021
"
"
Than I listen this song I back to day of College life
"
"
I wanna know the composer of this song❤️
"
"
2021 kon kon sun reha
"
"
""Aa gaana mere dil de bhut kreeb hai . Meinu aa
Gaana alag duniya ch le janda hai te mai os duniya to bahr nahi niklna chahda . Bhut sukoon hai is gaane wich . Dil karda aa gaana khtam hi na hoye....""
"
"
❤️❤️
"
"
Which is your fev line? Comment below
"
"
Zaror bethygy ek din inshallah
"
"
Jide nal behna c.... O puchdi v nhi
"
"
Judaa 3 krdo release🙏🙏🙏
"
"
Gill bhai boht khob
"
"
""Na darde dila di koi dwa,""
"
"
All time my favourite song
"
"
Who is listening in 2023?
"
"
Feel this song
"
"
LEGEND ONE AND ONLY
"
"
5years still this song gives me goosebumps
"
"
After 100 year  main bhi young generation bolegi kya song hai
"
"
GAANE CH SKOON JIHA AA ❤️
"
"
Awais Ishtiaq ; bohat khubsurat song hai
"
"
This song deserve more than 100M views❤️
"
"
my most fvrt song
"
"
2021vich kon kon sun raha hai
"
"
❤️
"
"
""me puchna waqt bitte tu
kiwe langya c mere bin...........
me ratan jag ke kattiyan 
kiwe nikle c tere din.....""
"
"
""After lockdown says  with frndzz ..
Jdd mil k  baithange ta gallan bhut krniya ne😉😉...""
"
"
🕊
"
"
ANYONE HERE IN 2021❤️❤️
"
"
So senty song
"
"
Come back Seerat 🙏
"
"
Read indira advani instead of Gitanjali puri!
"
"
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
"
"
🥺🥺🥺🥺
"
"
🥺🥺🥺🥺miss you
"
"
This song did what I could not do in 2 years
"
"
Who is hear after nayablafz❤️
"
"
This song and voice is magical
"
"
After 5 years.... suddenly I got reminded of this song ❤️..... ❤️..... ❤️..... ❤️
"
"
evergreen song
"
"
Headphones 🎧+ eyes 👁️ close+ mil ke bethange= sukoon ❤️
"
"
Aamir Khan & Amarinder Gill are same....they come once in a year and do blast
"
"
2021 wle ajo
"
"
Favourite song
"
"
❤️
"
"
Bas aje tak sanu sada pyaar ni naseeb hoyea ise karke Sanu jaldi kise te vishwash ni hoyea
"
"
22M zyati song k sath 1000M
"
"
Fvrt song
"
"
Haye oye
"
"
2021 cha May. De mouth cha kon kon sun reha hai
"
"
""Any one in202
1""
"
"
❤️❤️
"
"
Jao chor dia ab tume tang kerna khamosh hu yaad mat kerna Sha....
"
"
Muhabbat boli nahi bolia ja sakti
"
"
(ಥ‿ಥ)
"
"
Bohut vadiya song aa ❤️❤️❤️❤️
"
"
Salute Amrinder gill.Love you
"
"
""Continue 19 baar sun liya , fir bhi man nahi bharta hai""
"
"
Evergreen
"
"
Listening in 2021
"
"
21 May 2021
"
"
2021❤️❤️❤️❤️❤️❤️
"
"
❤️👍❤️
"
"
2021
"
"
Kamal
"
"
My fev.song 🌸🤍🌸
"
"
❤️
"
"
Akheerr songg haa❤️
"
"
lockdown music❤️
"
"
Amrinder paaji ❤️❤️
"
"
Wa sir appka jesa koi nhi
"
"
Dil se lyrics..soft touch lyrics
"
"
WAITING FOR JUDAA 3 🚩🚩📍🐣
"
"
""Jad mil ke baithange ta gallan
Bahut karniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne
Kujh mere raun diya
Tere vakh ho diya haye
Launa gall de nal tainu
Main akhaan pher bharniya ne
Jad mil ke bethange ta gallan
Bahut karniya ne
Jad mil ke bethange ta gallan
Bahut karniya ne
Main pucchna waqt beetein toh
Kivve langhya si mere bin
Main raatan jag ke kattiyan
Kivve nikle si tere din
Main sajna pher tere lai
Ve peeda aap jarniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne..(2x)
Thalaan vich sek nai hona
Jinna dil tapda vakh hoke
Hijar vich tere mach jana
Binder vekhi main kakh hoke
Jadon tu baithna sanwe
Roohan pher tharniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne..(2x)
Kujh mere raun diya
Tere vakh ho diya haye
Launa gall de nal tainu
Main akhaan pher bharniya ne""
"
"
""Jad mil ke baithange ta gallan
Bahut karniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne
Kujh mere raun diya
Tere vakh ho diya haye
Launa gall de nal tainu
Main akhaan pher bharniya ne
Jad mil ke bethange ta gallan
Bahut karniya ne
Jad mil ke bethange ta gallan
Bahut karniya ne
Main pucchna waqt beetein toh
Kivve langhya si mere bin
Main raatan jag ke kattiyan
Kivve nikle si tere din
Main sajna pher tere lai
Ve peeda aap jarniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne..(2x)
Thalaan vich sek nai hona
Jinna dil tapda vakh hoke
Hijar vich tere mach jana
Binder vekhi main kakh hoke
Jadon tu baithna sanwe
Roohan pher tharniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne..(2x)
Kujh mere raun diya
Tere vakh ho diya haye
Launa gall de nal tainu
Main akhaan pher bharniya ne""
"
"
who else is here after news of Judaa 3?
"
"
Listening this legendary song after 5 years
"
"
Jadon.b sunlo ina vdiya lgdaa
"
"
Att aa song a Vira daa
"
"
Jb bhout udaas hota hon to sun leta hon udaai km ho jati h
"
"
Bhtr h insan bachpan mn hi mar jaye na muhbt ho na rona pry
"
"
Song for ever
"
"
Why is this song so short I can listen to this song forever❤️
"
"
Mera Fvrt SoNg
"
"
Amrinder Veera my all time fevrate
"
"
Pure heartouching song
"
"
💯💯💯💯💯💯
"
"
""M from 2029 ,still listening this,, ajj oh menu 10 saal baad mili""
"
"
2021 April ❤️
"
"
Mesmerizing ❤️
"
"
Jgdjcjbgrobvrd
"
"
""I cant say anything only.............missing her
Main pucchna waqt beetein toh
 Kivve langhya si mere bin

Main raatan jag ke kattiyan Kivve nikle si tere din


Main sajna pher tere lai
  Ve peeda aap jarniya ne""
"
"
26.04.2021 👍
"
"
Rona ay janda song Sun ke
"
"
❤️❤️❤️❤️❤️❤️❤️❤️
"
"
Sharan....
"
"
my fev one how can i explane
"
"
Dil nu sakoon mil da awaaj sun k lyrics lagda mere layi likhe gaye
"
"
Kitna sukoon hai is song mein❤️
"
"
this is one of my fvrt songs. im still listening in2021
"
"
Amrinder gill is my favourite singer.
"
"
🥺❤️
"
"
My all time favourite movie
"
"
Who singing this song...???name
"
"
Kash kise da vichhoda na pve
"
"
Jad mil k betha ge ta gallan Bhut karnia ne.
"
"
Amrinder gill ❤️❤️❤️❤️
"
"
❤️❤️
"
"
❤️
"
"
❤️ ❤️
"
"
My favourite song
"
"
Still listen in 2021
"
"
0:44 lau#a g@nd 😴🙄
"
"
Bai  gona hi chad gia pata ni q
"
"
ETO UTTE KUJJ NAI ❤️
"
"
Amrinder Gill ne bakhubi bhut sohna gaya ❤️❤️❤️
"
"
""وہ فخر لیلا ۔۔۔۔۔۔۔۔۔۔میں رشک مجنوں 
کہ یار مجھ میں ۔۔۔۔میں یار  میں ہوں 
FROM.   NAROWAL.   PUNJAB.   PAKISTAN""
"
"
Ese song sun k delete mamery bhe wapes aa jati h
"
"
Sukoon milta hai ye song sunkar❤️
"
"
Who here in 2021?
"
"
Punjabi ka pehla song hai Jo dil ko chhu gaya.
"
"
Gallan kheriyaa karniyaaa eh vv dasdo
"
"
❤️
"
"
there's whole word within this song..... You cannot express this in the words.
"
"
Who is listening in 2021
"
"
To whom jis nu mai aan wale sme ch milna ..... waiting for you............plz come in my life
"
"
🥺🥺
"
"
""مجھے کہا گیا تھا محنت کرنا

افسوس! میں نے نکتہ گِرا کر محبت کر لی۔""
"
"
Phely ma suchta tha jab bacha hota tha k yar waqee hi pyar hota hai par ab pata chala k ap say koi tura bi behtr ho ga tu ap ko chor diya jaye ga par kuch nhi qismat ma ye tha Allah usy kush raky usy kabi gum na dy apan kaya hai kuch guzr gayi hai kuch baqi hai guzr hi jaye gi😪
"
"
ਬਹੁਤ ਵਧੀਆ ਸੋਂਗ
"
"
Who watch in 2021
"
"
آپ کیسے ہیں؟
"
"
who is listening this on 23 march❤️
"
"
Why this song is too short ...I need more lines of it 🥺
"
"
Amrinder paa jee kamaal kar dita jay ae song gaa ke
"
"
I'm also waiting for next but still waiting...its 2021
"
"
Sir thode song sun ke ruuh  nu sukoon milda
"
"
""Jdh mil k bathy ga gala bohat krniya ny
Kuj Mry rown dia kuj tery wakh hun dia""
"
"
Listening in 2021...mil ke baithange te..❤️❤️
"
"
Me tu comment parh parh kar has raha ho
"
"
Eh gaana amar a
"
"
Its 2021 and still listening this song.It never gets Old and everything it feels the same as it feel the first time.
"
"
Who listen 👂 2021
"
"
NYC
"
"
March 2021 and still addicted to this song
"
"
2021
"
"
Who lisning 2021
"
"
2050 still I'm listening from Neptune
"
"
What a song ❤️
"
"
2021 walo🥺❤️
"
"
Kainttt song
"
"
Amrinder gill  and sartaj bss ehho life de asli. Fankaar bss
"
"
Meri zindgi da first te last ehhi song ehho hoye gya
"
"
I listen this song 12 march 2021
"
"
Call me pk 03000270667
"
"
P
"
"
bot gala karniya ne.
"
"
in 2021
"
"
❤️❤️❤️❤️
"
"
#neosatinfo
"
"
mere rabba tere li pirran mein aap jarniya hai ( hasde hasde).
"
"
This song will never get old ❤️
"
"
""Main puchhna waqt v tetho kive langia c mere bin.... Main ratan Jag ke ktia, kive nikle c tere din.....""
"
"
lushing song
"
"
❤️❤️❤️❤️
"
"
wndrfl
"
"
Hlo
"
"
Kon Kon sun raha h 2021 m
"
"
""In March 2021 ,still new""
"
"
lw guz
"
"
Kade Rabb ne Maukka fer ditta te pakka ode naal  Gall karanga..
"
"
I will keep on listening this piece even in 2070
"
"
Grt Song
"
"
Forever ever ❤️
"
"
This song strips emotion even in someone who is not a lover or had similar kind of experience ❤️❤️❤️❤️All time favourite 😻
"
"
2021
"
"
This song doesn't get old.
"
"
Who is listening this in 2021.
"
"
kya baat kya baat
"
"
Its 2021 i Am StiLL Lstning This Song Same as New
"
"
It's feb 2021.....nd this song 🥺❤️
"
"
My faivrate song
"
"
It is 2021 Feb20  WHO listen This song in 2021
"
"
👍👍👍👍
"
"
🥺
"
"
kon kon 19 feb 2021 ko b still soun raha comnt main batao
"
"
Dil nu Skoon den Wali awaaz
"
"
Hlo
"
"
february 2021
"
"
amrinder gill ❤️❤️ (down to earth person)
"
"
Ever favourite one❤️❤️(amrinder gill)
"
"
16 feb 2021
"
"
its 2021...whenever I listen this song still feel s his presence
"
"
Gaana nhi sapna h sayad ye
"
"
14feb 21
"
"
I can feel this song.
"
"
February 2021 che kon kon sun rya aa
"
"
Ehnu jina mrji sun lo dil nhi rajda ❤️
"
"
umair g  eid gha kamalia
"
"
in office i listen this song in every break daily what a composition
"
"
❤️❤️
"
"
I am listening in 2021 and you
"
"
Eh song mein hundred times sunya
"
"
❤️❤️❤️❤️
"
"
❤️
"
"
Anybody Listening this in 2021 ?
"
"
2021
"
"
""ਥਲਾਂ ਵਿੱਚ ਸੇਕ ਨਹੀਂ ਹੋਣਾ, ਜਿਨਾਂ ਦਿਲ ਤਪਦਾ ਵੱਖ ਹੋਕੇ..
ਹਿਜ਼ਰ ਵਿੱਚ ਤੇਰੇ ਮੱਚ ਜਾਣਾ, ਅੰਸ਼ੁਲ ਵੇਖੀ ਮੈਂ ਕੱਖ ਹੋਕੇ..

ਜਦੋਂ ਤੂੰ ਬੈਠਣਾ ਸਾਹਵੇਂ, ਇਹ ਰੂਹਾਂ ਫੇਰ ਠਰਨੀਆਂ ਨੇ..""
"
"
Film bhi bahut ghaint aa ihe
"
"
Januray 2021 and i am listening to this song ❤️
"
"
My fev song ❤️❤️❤️❤️❤️
"
"
Ruh de rukh khidd jande ne aa ganna sun ke
"
"
30.1.2021
"
"
29 Jan 21⚘
"
"
Who is still listening in 2021
"
"
Pakistan
"
"
Opps
"
"
2021❤️ song
"
"
who is listening in JAN 2021
"
"
Ever4ever
"
"
My favourite song
"
"
Kon kon yeh song 2021me sun rha hai ❤️❤️❤️❤️
"
"
24 January 2021...3 54 am😷
"
"
""It,s jan 2021""
"
"
1:32
"
"
It's 22nd of January 2021 4.07 am on dial n listening this with deep thoughts...
"
"
I lov u nandni g fdk punjab new cant road JashanPreet singh
"
